"x" "y" "bathymetry"
935 7413 -816.909698626877
936 7413 -802.487915567625
937 7413 -802.487915567625
938 7413 -802.487915567625
939 7413 -802.487915567625
940 7413 -770.369755848933
941 7413 -770.369755848933
942 7413 -770.369755848933
945 7413 -740.573141276695
946 7413 -740.573141276695
947 7413 -740.573141276695
948 7413 -711.284085288332
949 7413 -711.284085288332
950 7413 -711.284085288332
951 7413 -711.284085288332
952 7413 -690.461288866599
953 7413 -690.461288866599
954 7413 -690.461288866599
935 7414 -816.909698626877
936 7414 -802.487915567625
937 7414 -802.487915567625
938 7414 -802.487915567625
939 7414 -802.487915567625
940 7414 -770.369755848933
941 7414 -770.369755848933
942 7414 -770.369755848933
943 7414 -770.369755848933
945 7414 -740.573141276695
946 7414 -740.573141276695
947 7414 -740.573141276695
948 7414 -711.284085288332
949 7414 -711.284085288332
950 7414 -711.284085288332
951 7414 -711.284085288332
952 7414 -690.461288866599
953 7414 -690.461288866599
954 7414 -690.461288866599
935 7415 -816.909698626877
936 7415 -802.487915567625
937 7415 -802.487915567625
938 7415 -802.487915567625
939 7415 -802.487915567625
940 7415 -770.369755848933
941 7415 -770.369755848933
942 7415 -770.369755848933
943 7415 -770.369755848933
945 7415 -740.573141276695
946 7415 -740.573141276695
947 7415 -740.573141276695
948 7415 -711.284085288332
949 7415 -711.284085288332
950 7415 -711.284085288332
951 7415 -711.284085288332
952 7415 -690.461288866599
953 7415 -690.461288866599
954 7415 -690.461288866599
934 7416 -816.909698626877
935 7416 -816.909698626877
936 7416 -802.487915567625
937 7416 -802.487915567625
938 7416 -802.487915567625
939 7416 -802.487915567625
940 7416 -770.369755848933
941 7416 -770.369755848933
942 7416 -770.369755848933
943 7416 -770.369755848933
944 7416 -740.573141276695
946 7416 -740.573141276695
947 7416 -740.573141276695
948 7416 -711.284085288332
949 7416 -711.284085288332
950 7416 -711.284085288332
951 7416 -711.284085288332
952 7416 -690.461288866599
953 7416 -690.461288866599
954 7416 -690.461288866599
901 7417 -686.743484304022
902 7417 -686.743484304022
903 7417 -686.743484304022
934 7417 -846.292647531477
935 7417 -846.292647531477
936 7417 -829.57527271781
937 7417 -829.57527271781
938 7417 -829.57527271781
939 7417 -829.57527271781
940 7417 -805.780398999952
941 7417 -805.780398999952
942 7417 -805.780398999952
943 7417 -805.780398999952
944 7417 -767.782401790862
945 7417 -767.782401790862
946 7417 -767.782401790862
947 7417 -767.782401790862
948 7417 -730.410732297899
949 7417 -730.410732297899
950 7417 -730.410732297899
951 7417 -730.410732297899
952 7417 -704.183059951728
953 7417 -704.183059951728
899 7418 -636.668505708702
